Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SDR","SCHRODERS PLC","Financials","Equity","925,351.51","0.14","925,351.51","135,618.00","6.82","United Kingdom","London Stock Exchange","GBP"
"ORNBV","ORION CLASS B","Health Care","Equity","906,412.80","0.13","906,412.80","11,108.00","81.60","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SCHN","SCHINDLER HOLDING AG","Industrials","Equity","902,852.98","0.13","902,852.98","3,277.00","275.51","Switzerland","SIX Swiss Exchange","CHF"
"FORTUM","FORTUM","Utilities","Equity","901,690.24","0.13","901,690.24","46,288.00","19.48","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"RO","ROCHE HOLDING AG","Health Care","Equity","890,823.00","0.13","890,823.00","2,260.00","394.17","Switzerland","SIX Swiss Exchange","CHF"
"LIFCO B","LIFCO CLASS B","Industrials","Equity","853,909.92","0.13","853,909.92","28,190.00","30.29","Sweden","Nasdaq Omx Nordic","SEK"
"FRES","FRESNILLO PLC","Materials","Equity","848,248.08","0.12","848,248.08","26,539.00","31.96","United Kingdom","London Stock Exchange","GBP"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","824,599.75","0.12","824,599.75","7,541.00","109.35","Switzerland","SIX Swiss Exchange","CHF"
"INDU A","INDUSTRIVARDEN A","Financials","Equity","822,129.33","0.12","822,129.33","16,100.00","51.06","Sweden","Nasdaq Omx Nordic","SEK"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","779,366.81","0.11","779,366.81","93,637.00","8.32","United Kingdom","London Stock Exchange","GBP"
"MAP","MAPFRE SA","Financials","Equity","760,879.76","0.11","760,879.76","170,067.00","4.47","Spain","Bolsa De Madrid","EUR"
"CVC","CVC CAPITAL PARTNERS PLC","Financials","Equity","759,823.15","0.11","759,823.15","48,551.00","15.65","Netherlands","Euronext Amsterdam","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","717,835.52","0.11","717,835.52","10,544.00","68.08","Germany","Xetra","EUR"
"RAA","RATIONAL AG","Industrials","Equity","689,976.00","0.10","689,976.00","1,036.00","666.00","Germany","Xetra","EUR"
"TEN","TENARIS SA","Energy","Equity","651,337.32","0.10","651,337.32","28,356.00","22.97","Italy","Borsa Italiana","EUR"
"VER","VERBUND AG","Utilities","Equity","649,729.35","0.10","649,729.35","11,097.00","58.55","Austria","Wiener Boerse Ag","EUR"
